prefName,tradeNames,drugType,label,targetName,approvedSymbol,targetClass,mechanismOfAction
STREPTOKINASE,['Kabikinase' 'Streptase'],Enzyme,Recurrent thrombophlebitis,Plasminogen,PLG,Enzyme,Plasminogen activator
SUFENTANIL CITRATE,"['Dsuvia' 'Dzuveo' 'Sufenta' 'Sufenta preservative free' 'Sufental'
 'Sufentanil citrate' 'Zalviso']",Small molecule,Pain,Mu-type opioid receptor,OPRM1,Membrane receptor,Mu opioid receptor agonist
SULFASALAZINE,"['Azulfidine' 'Azulfidine en-tabs' 'Colizine' 'S.a.s.-500' 'Salazopyrin'
 'Salazopyrin e.c.' 'Salazopyrin-en' 'Sulfasalazine' 'Ucine']",Small molecule,"juvenile idiopathic arthritis, rheumatoid arthritis, ulcerative colitis","Cyclooxygenase, Polyunsaturated fatty acid 5-lipoxygenase","ALOX5, PTGS1, PTGS2","Enzyme, Other cytosolic protein","Arachidonate 5-lipoxygenase inhibitor, Cyclooxygenase inhibitor"
SULFINPYRAZONE,['Anturan' 'Anturane' 'Sulfinpyrazone'],Small molecule,gout,Solute carrier family 22 member 12,SLC22A12,Transporter,Solute carrier family 22 member 12 inhibitor
SULINDAC,['Clinoril' 'Sulindac'],Small molecule,"osteoarthritis, rheumatic disease, rheumatoid arthritis, spondylitis",Cyclooxygenase,"PTGS1, PTGS2",Enzyme,Cyclooxygenase inhibitor
SULOCTIDIL,[],Small molecule,cardiovascular disease,Voltage-gated calcium channel,"CACNA1A, CACNA1B, CACNA1C, CACNA1D, CACNA1E, CACNA1F, CACNA1G, CACNA1H, CACNA1I, CACNA1S, CACNA2D1, CACNA2D2, CACNA2D3, CACNA2D4, CACNB1, CACNB2, CACNB3, CACNB4, CACNG1, CACNG2, CACNG3, CACNG4, CACNG5, CACNG6, CACNG7, CACNG8","Auxiliary transport protein, Ion channel",Voltage-gated calcium channel blocker
SULPIRIDE,"['Abilit' 'Aiglonyl' 'Coolspan' 'Dobren' 'Dogmatil' 'Dogmatyl' 'Dolmatil'
 'Guastil' 'Meresa' 'Mirbanil' 'Misulvan' 'Neogama' 'Omperan' 'Pyrikappl'
 'Sernevin' 'Splotin' 'Sulpitil' 'Sulpor' 'Sursumid' 'Synedil' 'Trilan']",Small molecule,psychosis,D(2) dopamine receptor,DRD2,Membrane receptor,Dopamine D2 receptor antagonist
SULTHIAME,['Conadil' 'Ospolot' 'Trolone'],Small molecule,epilepsy,Carbonic anhydrase,"CA1, CA12, CA13, CA14, CA2, CA3, CA4, CA5A, CA5B, CA6, CA7, CA9",Enzyme,Carbonic anhydrase inhibitor
SUMATRIPTAN,['Imitrex' 'Sumatriptan' 'Tosymra'],Small molecule,migraine disorder,"5-hydroxytryptamine receptor 1B, 5-hydroxytryptamine receptor 1D","HTR1B, HTR1D",Membrane receptor,"Serotonin 1b (5-HT1b) receptor agonist, Serotonin 1d (5-HT1d) receptor agonist"
SUMATRIPTAN SUCCINATE,"['Alsuma' 'Imigran' 'Imigran 50' 'Imigran radis' 'Imigran recovery'
 'Imigran subject' 'Imitrex' 'Imitrex statdose' 'Migraitan'
 'Migraleve ultra' 'Onzetra xsail' 'Sumatriptan succinate'
 'Sumatriptan succinate component of treximet' 'Sumavel dosepro' 'Zecuity'
 'Zembrace symtouch']",Small molecule,migraine disorder,"5-hydroxytryptamine receptor 1B, 5-hydroxytryptamine receptor 1D","HTR1B, HTR1D",Membrane receptor,"Serotonin 1b (5-HT1b) receptor agonist, Serotonin 1d (5-HT1d) receptor agonist"
SUNITINIB,['Sunitinib accord'],Small molecule,"gastrointestinal stromal tumor, neoplasm, neuroendocrine neoplasm, pancreatic neuroendocrine tumor, renal cell carcinoma","Macrophage colony-stimulating factor 1 receptor, Mast/stem cell growth factor receptor Kit, Platelet-derived growth factor receptor, Proto-oncogene tyrosine-protein kinase receptor Ret, Receptor-type tyrosine-protein kinase FLT3, Vascular endothelial growth factor receptor","CSF1R, FLT1, FLT3, FLT4, KDR, KIT, PDGFRA, PDGFRB, RET","Enzyme, Secreted protein, Unclassified protein","Macrophage colony stimulating factor receptor inhibitor, Platelet-derived growth factor receptor inhibitor, Stem cell growth factor receptor inhibitor, Tyrosine-protein kinase receptor FLT3 inhibitor, Tyrosine-protein kinase receptor RET inhibitor, Vascular endothelial growth factor receptor inhibitor"
SUNITINIB MALATE,['Sunitinib malate' 'Sutent'],Small molecule,"gastrointestinal stromal tumor, neuroendocrine neoplasm, renal cell carcinoma","Macrophage colony-stimulating factor 1 receptor, Mast/stem cell growth factor receptor Kit, Platelet-derived growth factor receptor, Proto-oncogene tyrosine-protein kinase receptor Ret, Receptor-type tyrosine-protein kinase FLT3, Vascular endothelial growth factor receptor","CSF1R, FLT1, FLT3, FLT4, KDR, KIT, PDGFRA, PDGFRB, RET","Enzyme, Secreted protein, Unclassified protein","Macrophage colony stimulating factor receptor inhibitor, Platelet-derived growth factor receptor inhibitor, Stem cell growth factor receptor inhibitor, Tyrosine-protein kinase receptor FLT3 inhibitor, Tyrosine-protein kinase receptor RET inhibitor, Vascular endothelial growth factor receptor inhibitor"
SUPROFEN,['Profenal'],Small molecule,rheumatic disease,Cyclooxygenase,"PTGS1, PTGS2",Enzyme,Cyclooxygenase inhibitor
SUSOCTOCOG ALFA,['Obizur'],Protein,"hemophilia A, hemorrhage",Coagulation factor VIII,F8,"Enzyme, Secreted protein",Coagulation factor VIII exogenous protein
SUTIMLIMAB,['Enjaymo'],Antibody,"Anemia, Hemolytic, Autoimmune, hemolysis",Complement C1s subcomponent,C1S,Enzyme,Complement C1s inhibitor
SUVOREXANT,['Belsomra' 'Suvorexant component of belsomra'],Small molecule,insomnia,Orexin receptor,"HCRTR1, HCRTR2",Membrane receptor,Orexin receptor antagonist
"SYNTHETIC CONJUGATED ESTROGENS, B",['Enjuvia'],Unknown,"Atrophy, menopause",Estrogen receptor,"ESR1, ESR2","Other cytosolic protein, Transcription factor, Unclassified protein",Estrogen receptor agonist
TACRINE,[],Small molecule,Dementia,Cholinesterases; ACHE & BCHE,"ACHE, BCHE",Enzyme,Cholinesterases; ACHE & BCHE inhibitor
TACROLIMUS,"['Adoport' 'Advagraf' 'Astagraf xl' 'Capexion' 'Envarsus' 'Envarsus xr'
 'Modigraf' 'Perixis' 'Prograf' 'Protopic' 'Protopy' 'Tacforius' 'Tacni'
 'Tacrolimus' 'Vivadex']",Small molecule,"Eczematoid dermatitis, atopic eczema, immune system disease",Peptidyl-prolyl cis-trans isomerase FKBP1A,FKBP1A,Enzyme,FK506-binding protein 1A inhibitor
TADALAFIL,"['Adcirca' 'Adcirca (previously tadalafil lilly)' 'Chewtadzy' 'Cialis'
 'Tadalafil component of entadfi' 'Tadalafil component of opsynvi'
 'Tadalafil lilly' 'Tadalafil mylan' 'Tadliq'
 'Talmanco (previously tadalafil generics)']",Small molecule,"Impotence, benign prostatic hyperplasia, erectile dysfunction, pulmonary arterial hypertension, pulmonary hypertension","cGMP-specific 3',5'-cyclic phosphodiesterase",PDE5A,Enzyme,Phosphodiesterase 5A inhibitor
TAFAMIDIS,['Vyndamax'],Small molecule,"AL amyloidosis, amyloidosis, cardiomyopathy",Transthyretin,TTR,Secreted protein,Transthyretin stabiliser
TAFAMIDIS MEGLUMINE,['Vyndaqel'],Small molecule,"AL amyloidosis, amyloidosis, cardiomyopathy",Transthyretin,TTR,Secreted protein,Transthyretin stabiliser
TAFASITAMAB,['Minjuvi' 'Monjuvi' 'Monjuvi (tafasitamab-cxix) for injection'],Antibody,"diffuse large B-cell lymphoma, lymphoma, neoplasm",B-lymphocyte antigen CD19,CD19,Surface antigen,B-lymphocyte antigen CD19 binding agent
TAFLUPROST,['Saflutan' 'Zioptan'],Small molecule,"glaucoma, ocular hypertension, open-angle glaucoma",Prostaglandin F2-alpha receptor,PTGFR,Membrane receptor,Prostanoid FP receptor agonist
TAGRAXOFUSP,['Elzonris'],Protein,"acute myeloid leukemia, lymphoma, neoplasm","Elongation factor 2, Interleukin-3 receptor subunit alpha","EEF2, IL3RA","Membrane receptor, Other cytosolic protein","Elongation factor 2 inhibitor, Interleukin-3 receptor subunit alpha binding agent"
TALAZOPARIB TOSYLATE,['Talzenna'],Small molecule,"breast carcinoma, breast neoplasm","Poly [ADP-ribose] polymerase 1, Poly [ADP-ribose] polymerase 2","PARP1, PARP2","Enzyme, Unclassified protein","Poly [ADP-ribose] polymerase 2 inhibitor, Poly [ADP-ribose] polymerase-1 inhibitor"
TALQUETAMAB,['Talvey'],Antibody,multiple myeloma,"G-protein coupled receptor family C group 5 member D, T cell surface glycoprotein CD3","CD3D, CD3E, CD3G, GPRC5D","Membrane receptor, Unclassified protein","G-protein coupled receptor family C group 5 member D binding agent, T cell surface glycoprotein CD3 binding agent"
TAMOXIFEN,[],Small molecule,neoplasm,Estrogen receptor,ESR1,"Other cytosolic protein, Transcription factor, Unclassified protein",Estrogen receptor alpha modulator
TAMOXIFEN CITRATE,"['Emblon' 'Fentamox 10' 'Fentamox 20' 'Kentadex' 'Kessar 10' 'Kessar 20'
 'Noltam' 'Nolvadex' 'Nolvadex d' 'Nolvadex fte' 'Oestrifen-10'
 'Oestrifen-20' 'Oestrifen-40' 'Soltamox' 'Tamofen' 'Tamoxifen citrate'
 'Zynoplex']",Small molecule,breast cancer,Estrogen receptor,ESR1,"Other cytosolic protein, Transcription factor, Unclassified protein",Estrogen receptor alpha modulator
TAMSULOSIN,[],Small molecule,benign prostatic hyperplasia,Adrenergic receptor alpha-1,"ADRA1A, ADRA1B, ADRA1D",Membrane receptor,Adrenergic receptor alpha-1 antagonist
