prefName,tradeNames,drugType,label,targetName,approvedSymbol,targetClass,mechanismOfAction
CARBOPROST TROMETHAMINE,['Hemabate' 'Prostin/15m'],Small molecule,"hemorrhage, postpartum hemorrhage",Prostaglandin F2-alpha receptor,PTGFR,Membrane receptor,Prostanoid FP receptor agonist
CARFILZOMIB,['Kyprolis'],Protein,"multiple myeloma, neoplasm",26S proteasome,PSMB5,Enzyme,26S proteasome inhibitor
CARGLUMIC ACID,['Carbaglu' 'Ucedane'],Small molecule,"Hyperammonemia, Hyperammonemia due to N-acetylglutamate synthetase deficiency, inborn disorder of amino acid metabolism","Carbamoyl-phosphate synthase [ammonia], mitochondrial",CPS1,Enzyme,"Carbamoyl-phosphate synthase [ammonia], mitochondrial positive allosteric modulator"
CARIPRAZINE,['Reagila'],Small molecule,psychosis,"D(2) dopamine receptor, D(3) dopamine receptor","DRD2, DRD3",Membrane receptor,"Dopamine D2 receptor modulator, Dopamine D3 receptor modulator"
CARIPRAZINE HYDROCHLORIDE,['Reagila' 'Vraylar'],Small molecule,"bipolar I disorder, bipolar disorder, schizophrenia","D(2) dopamine receptor, D(3) dopamine receptor","DRD2, DRD3",Membrane receptor,"Dopamine D2 receptor modulator, Dopamine D3 receptor modulator"
CARMUSTINE,"['Bicnu' 'Carmustine medac (previously carmustine obvius)'
 'Carmustine obvius' 'Gliadel']",Small molecule,"Hodgkins lymphoma, astrocytoma, ependymoma, glioblastoma multiforme, glioma, medulloblastoma, multiple myeloma, neoplasm, non-Hodgkins lymphoma","Glutathione reductase, mitochondrial",GSR,Enzyme,Glutathione reductase inhibitor
CARTEOLOL,[],Small molecule,"cardiovascular disease, glaucoma",Adrenergic receptor beta,"ADRB1, ADRB2, ADRB3",Membrane receptor,Adrenergic receptor beta antagonist
CARTEOLOL HYDROCHLORIDE,['Carteolol hydrochloride' 'Cartrol' 'Ocupress' 'Teoptic'],Small molecule,open-angle glaucoma,Adrenergic receptor beta,"ADRB1, ADRB2, ADRB3",Membrane receptor,Adrenergic receptor beta antagonist
CARVEDILOL,"['Artist' 'Carvedilol' 'Coreg' 'Eucardic 12.5' 'Eucardic 25'
 'Eucardic 3.125' 'Eucardic 6.25' 'Querto']",Small molecule,"cardiovascular disease, congestive heart failure, heart failure, hypertension, myocardial infarction","Adrenergic receptor alpha-1, Adrenergic receptor beta","ADRA1A, ADRA1B, ADRA1D, ADRB1, ADRB2, ADRB3",Membrane receptor,"Adrenergic receptor alpha-1 antagonist, Adrenergic receptor beta antagonist"
CARVEDILOL PHOSPHATE,['Coreg cr'],Small molecule,"hypertension, myocardial infarction","Adrenergic receptor alpha-1, Adrenergic receptor beta","ADRA1A, ADRA1B, ADRA1D, ADRB1, ADRB2, ADRB3",Membrane receptor,"Adrenergic receptor alpha-1 antagonist, Adrenergic receptor beta antagonist"
CASIMERSEN,['Amondys 45'],Oligonucleotide,"Duchenne muscular dystrophy, muscular dystrophy",Dystrophin pre-mRNA,DMD,Unclassified protein,Dystrophin pre-mRNA positive modulator
CATRIDECACOG,['Novothirteen'],Protein,"Rare genetic coagulation disorder, hemorrhage",Coagulation factor XIII A chain,F13A1,Enzyme,Coagulation factor XIII exogenous protein
CATUMAXOMAB,['Removab'],Antibody,"Ascites, neoplasm","Epithelial cell adhesion molecule, T cell surface glycoprotein CD3","CD3D, CD3E, CD3G, EPCAM","Membrane receptor, Unclassified protein","Epithelial cell adhesion molecule cross-linking agent, T cell surface glycoprotein CD3 cross-linking agent"
CEDAZURIDINE,['Cedazuridine component of inqovi'],Small molecule,myelodysplastic syndrome,Cytidine deaminase,CDA,Enzyme,Cytidine deaminase inhibitor
CELECOXIB,"['Celebra' 'Celebrex' 'Celecoxib' 'Celecoxib component of consensi'
 'Celecoxib component of seglentis' 'Elyxyb' 'Onsenal']",Small molecule,"Dysmenorrhea, Familial adenomatous polyposis, Pain, Peptic ulcer, ankylosing spondylitis, colorectal neoplasm, familial adenomatous polyposis 1, hemorrhage, juvenile idiopathic arthritis, migraine disorder, neoplasm, osteoarthritis, peptic ulcer disease, rheumatic disease, rheumatoid arthritis, spondylitis, stroke",Prostaglandin G/H synthase 2,PTGS2,Enzyme,Cyclooxygenase-2 inhibitor
CELIPROLOL,[],Small molecule,cardiovascular disease,"Adrenergic receptor alpha-2, Beta-1 adrenergic receptor, Beta-2 adrenergic receptor","ADRA2A, ADRA2B, ADRA2C, ADRB1, ADRB2",Membrane receptor,"Adrenergic receptor alpha-2 antagonist, Beta-1 adrenergic receptor antagonist, Beta-2 adrenergic receptor partial agonist"
CEMIPLIMAB,['Libtayo'],Antibody,"basal cell carcinoma, lung cancer, neoplasm, squamous cell carcinoma",Programmed cell death protein 1,PDCD1,Surface antigen,Programmed cell death protein 1 inhibitor
CENEGERMIN,['Oxervate'],Protein,"eye disease, keratitis",Neurotrophic tyrosine kinase receptor,"NTRK1, NTRK2, NTRK3",Enzyme,Neurotrophic tyrosine kinase receptor agonist
CENOBAMATE,['Ontozry' 'Xcopri'],Small molecule,"Focal-onset seizure, Seizure, epilepsy","GABA-A receptor; anion channel, Sodium channel alpha subunit","GABRA1, GABRA2, GABRA3, GABRA4, GABRA5, GABRA6, GABRB1, GABRB2, GABRB3, GABRD, GABRE, GABRG1, GABRG2, GABRG3, GABRP, GABRQ, SCN10A, SCN11A, SCN1A, SCN2A, SCN3A, SCN4A, SCN5A, SCN7A, SCN8A, SCN9A","Ion channel, Unclassified protein","GABA-A receptor; anion channel positive allosteric modulator, Sodium channel alpha subunit inhibitor"
CERITINIB,['Zykadia'],Small molecule,"cancer, neoplasm, non-small cell lung carcinoma","EML4-ALK, NPM/ALK (Nucleophosmin/ALK tyrosine kinase receptor)","ALK, EML4, NPM1","Enzyme, Other nuclear protein, Unclassified protein","EML4-ALK inhibitor, NPM/ALK (Nucleophosmin/ALK tyrosine kinase receptor) inhibitor"
CERIVASTATIN,['Lipobay'],Small molecule,cardiovascular disease,3-hydroxy-3-methylglutaryl-coenzyme A reductase,HMGCR,"Enzyme, Unclassified protein",HMG-CoA reductase inhibitor
CERTOLIZUMAB PEGOL,['Cimzia'],Antibody,"Crohn's disease, ankylosing spondylitis, immune system disease, inflammation, psoriatic arthritis, rheumatoid arthritis",Tumor necrosis factor,TNF,Secreted protein,TNF-alpha inhibitor
CETIRIZINE,[],Small molecule,"allergic disease, eye allergy",Histamine H1 receptor,HRH1,Membrane receptor,Histamine H1 receptor antagonist
CETIRIZINE HYDROCHLORIDE,"['Allacan' 'Allertek' 'Becoallergy' 'Cetec' 'Cetirizine hydrochloride'
 'Cetirizine hydrochloride allergy'
 'Cetirizine hydrochloride component of zyrtec-d'
 'Cetirizine hydrochloride hives' 'Cetirizine hydrochloride hives relief'
 'Cetirocol' ""Children's cetirizine hydrochloride allergy""
 ""Children's cetirizine hydrochloride hives relief""
 ""Children's zyrtec allergy"" ""Children's zyrtec hives relief"" 'Piriteze'
 'Pollenshield' 'Quzyttir' 'Zerviate' 'Ziralton' 'Zirtek' 'Zynor' 'Zyrtec'
 'Zyrtec allergy' 'Zyrtec hives relief']",Small molecule,"Nasal congestion, Pruritus, Rhinitis, Allergic, Perennial, allergic conjunctivitis, allergic rhinitis, seasonal allergic rhinitis, urticaria",Histamine H1 receptor,HRH1,Membrane receptor,Histamine H1 receptor antagonist
CETUXIMAB,['Erbitux'],Antibody,"colorectal adenocarcinoma, colorectal neoplasm, head and neck malignant neoplasia, head and neck neoplasia, malignant tumor of neck, neoplasm, squamous cell carcinoma, upper aerodigestive tract neoplasm",Epidermal growth factor receptor,EGFR,"Enzyme, Unclassified protein",Epidermal growth factor receptor erbB1 inhibitor
CEVIMELINE HYDROCHLORIDE,['Cevimeline hydrochloride' 'Evoxac'],Small molecule,xerostomia,"Muscarinic acetylcholine receptor M1, Muscarinic acetylcholine receptor M3","CHRM1, CHRM3",Membrane receptor,"Muscarinic acetylcholine receptor M1 agonist, Muscarinic acetylcholine receptor M3 agonist"
CHENODIOL,"['Chendol 125' 'Chendol 250' 'Chenix' 'Chenocedon'
 'Chenodeoxycholic acid leadiant (previously known as chenodeoxycholic acid sigma-tau)'
 'Chenodiol' 'Chenofalk' 'Combidol' 'Lithofalk' 'Xenbilox']",Small molecule,"cerebrotendinous xanthomatosis, inborn errors of metabolism",Bile acid receptor,NR1H4,Transcription factor,Bile acid receptor FXR agonist
CHLORDIAZEPOXIDE,"['Chlordiazepoxide component of limbitrol'
 'Chlordiazepoxide component of limbitrol ds'
 'Chlordiazepoxide component of menrium' 'Librelease' 'Libritabs' 'Sarlib'
 'Trakipeal' 'Zeisin']",Small molecule,"Anxiety, alcohol dependence, anxiety disorder",GABA-A receptor; anion channel,"GABRA1, GABRA2, GABRA3, GABRA5, GABRG1, GABRG2, GABRG3",Ion channel,GABA-A receptor; anion channel positive allosteric modulator
CHLOROTHIAZIDE,['Chlorothiazide' 'Diuril' 'Saluric'],Small molecule,"cardiovascular disease, chronic kidney disease, congestive heart failure, edema, glomerulonephritis, heart failure, hypertension, nephrotic syndrome, preeclampsia",Solute carrier family 12 member 3,SLC12A3,Transporter,Thiazide-sensitive sodium-chloride cotransporter inhibitor
CHLORPHENIRAMINE,[],Small molecule,allergic disease,Histamine H1 receptor,HRH1,Membrane receptor,Histamine H1 receptor antagonist
CHLORPHENIRAMINE MALEATE,"['Allercalm allergy relief' 'Allerief' 'Alunex' 'Antagonate' 'Calimal'
 'Chlor-trimeton' 'Chlorpheniramine maleate'
 'Chlorpheniramine maleate component of advil allergy sinus'
 'Chlorpheniramine maleate component of codimal-l.a. 12'
 'Chlorpheniramine maleate component of contac'
 'Chlorpheniramine maleate component of demazin'
 'Chlorpheniramine maleate component of drize'
 'Chlorpheniramine maleate component of isoclor'
 'Chlorpheniramine maleate component of ornade'
 'Chlorpheniramine maleate component of triaminic'
 'Chlorpheniramine maleate component of vituz'
 'Chlorpheniramine maleate component of zutripro'
 'Efidac 24 chlorpheniramine maleate' 'Hayleve' 'Kloromin' 'Phenetron'
 'Piriject' 'Piriton' 'Piriton allergy' 'Pyridamal 100'
 'Rhino-syrup allergy' 'Rimarin' 'Teldrin']",Small molecule,"Back pain, Cough, Fever, Headache, Nasal congestion, Pain, allergic disease, common cold, pharyngitis, seasonal allergic rhinitis, sinusitis",Histamine H1 receptor,HRH1,Membrane receptor,Histamine H1 receptor antagonist
CHLORPHENOXAMINE,[],Small molecule,"Pruritus, allergic disease",Histamine H1 receptor,HRH1,Membrane receptor,Histamine H1 receptor antagonist
CHLORPROMAZINE,['Elmarin' 'Megaphen' 'Thorazine'],Small molecule,"Nausea and vomiting, conduct disorder, mental or behavioural disorder, porphyria, psychosis, schizophrenia","5-hydroxytryptamine receptor 2A, D2-like dopamine receptor","DRD2, DRD3, DRD4, HTR2A",Membrane receptor,"D2-like dopamine receptor antagonist, Serotonin 2a (5-HT2a) receptor antagonist"
CHLORPROPAMIDE,['Chlorpropamide' 'Diabemide' 'Diabinese' 'Glucamide' 'Glymese' 'Melitase'],Small molecule,"diabetes mellitus, type 2 diabetes mellitus","Sulfonylurea receptor 1, Kir6.2","ABCC8, KCNJ11","Ion channel, Transporter","Sulfonylurea receptor 1, Kir6.2 blocker"
CHLORPROTHIXENE,['Taractan' 'Truxal'],Small molecule,psychosis,"5-hydroxytryptamine receptor 2A, 5-hydroxytryptamine receptor 2C, D(2) dopamine receptor, D(3) dopamine receptor","DRD2, DRD3, HTR2A, HTR2C",Membrane receptor,"Dopamine D2 receptor antagonist, Dopamine D3 receptor antagonist, Serotonin 2a (5-HT2a) receptor antagonist, Serotonin 2c (5-HT2c) receptor antagonist"
CHLORTHALIDONE,"['Chlorthalidone' 'Chlorthalidone component of clorpres'
 'Chlorthalidone component of combipres'
 'Chlorthalidone component of demi-regroton'
 'Chlorthalidone component of edarbyclor'
 'Chlorthalidone component of kerledex'
 'Chlorthalidone component of lopressidone'
 'Chlorthalidone component of regroton'
 'Chlorthalidone component of tenoretic' 'Hygroton' 'Thalitone']",Small molecule,"angina pectoris, cardiovascular disease, chronic kidney disease, congestive heart failure, glomerulonephritis, heart failure, hypertension, nephrotic syndrome, preeclampsia",Solute carrier family 12 member 3,SLC12A3,Transporter,Thiazide-sensitive sodium-chloride cotransporter inhibitor
CHOLECALCIFEROL,"['Accrete d3' 'Aciferol d3' 'Adcal-d3' 'Biolife vitamin d3' 'Cacit d3'
 'Calceos' 'Calci-d' 'Calcichew d3' 'Calcichew d3 fte'
 'Calcichew d3 once daily'
 'Cholecalciferol component of dp-r206  vitamin d3'
 'Cholecalciferol component of fosamax plus d' 'Colecal d3' 'Colekal-d3'
 'Cubicole d3' 'D-max' 'D3 lemon melts' 'Dekristol' 'Desunin'
 'Dihydrocholesterol' 'E-d3' 'Evacal d3' 'Fultium daily d3' 'Fultium-d3'
 'Hux d3' 'Invita d3' 'Kora liquid' 'Natecal d3' 'Osteocaps d3' 'Pro d3'
 'Pro d3 forte' 'Royalvit d3' 'Stexerol-d3' 'Sunvit-d3 1,000'
 'Sunvit-d3 10,000' 'Sunvit-d3 2,000' 'Sunvit-d3 2,000u/ml'
 'Sunvit-d3 20,000' 'Sunvit-d3 3,000' 'Sunvit-d3 400' 'Sunvit-d3 5,000'
 'Sunvit-d3 50,000' 'Sunvit-d3 800' 'Synervit-d3' 'Theical d-3' 'Thorens'
 'Vigantol' 'Vit d3 streuli' 'Vitamin d 3' 'Zymad']",Small molecule,"Iron deficiency anemia, anemia (phenotype), osteoporosis",Vitamin D3 receptor,VDR,"Transcription factor, Unclassified protein",Vitamin D receptor agonist
CHOLINE FENOFIBRATE,['Trilipix'],Small molecule,cardiovascular disease,Peroxisome proliferator-activated receptor alpha,PPARA,Transcription factor,Peroxisome proliferator-activated receptor alpha agonist
CHORIOGONADOTROPIN ALFA,['Ovidrel' 'Ovitrelle'],Protein,"anovulation, female infertility, hypogonadism, infertility, obesity, primary ovarian insufficiency",Lutropin-choriogonadotropic hormone receptor,LHCGR,Membrane receptor,Luteinizing hormone/Choriogonadotropin receptor agonist
CICLESONIDE,"['Alvesco' 'Alvesco 160' 'Alvesco 80' 'Aservo equihaler' 'Omnaris'
 'Zetonna']",Small molecule,"Airway obstruction, Nasal congestion, Rhinitis, Allergic, Perennial, allergic rhinitis, asthma, seasonal allergic rhinitis",Glucocorticoid receptor,NR3C1,Transcription factor,Glucocorticoid receptor agonist
CILASTATIN SODIUM,"['Cilastatin sodium component of mk-7655a'
 'Cilastatin sodium component of primaxin'
 'Cilastatin sodium component of recarbrio']",Small molecule,"Sepsis, endocarditis, infection, pneumonia, urinary tract infection",Dipeptidase 1,DPEP1,Enzyme,Renal dipeptidase inhibitor
CILAZAPRIL,['Inhibace' 'Vascace'],Small molecule,cardiovascular disease,Angiotensin-converting enzyme,ACE,Enzyme,Angiotensin-converting enzyme inhibitor
CILOSTAZOL,['Cilostazol' 'Pletal'],Small molecule,Recurrent thrombophlebitis,"cGMP-inhibited 3',5'-cyclic phosphodiesterase 3A",PDE3A,Enzyme,Phosphodiesterase 3A inhibitor
CILTACABTAGENE AUTOLEUCEL,['Carvykti'],Gene,multiple myeloma,Tumor necrosis factor receptor superfamily member 17,TNFRSF17,Membrane receptor,Tumor necrosis factor receptor superfamily member 17 binding agent
CIMETIDINE,"['Acid-eze' 'Acitak 200' 'Acitak 400' 'Acitak 800' 'Brumetadina'
 'Cimetidine' 'Dyspamet' 'Galenamet' 'Kentamet' 'Peptimax 200'
 'Peptimax 400' 'Peptimax 800' 'Tagadine' 'Tagamet' 'Tagamet 100'
 'Tagamet hb' 'Tagamet hb 200' 'Ultec' 'Valmagen' 'Zita']",Small molecule,"Peptic ulcer, duodenal ulcer, gastroesophageal reflux disease",Histamine H2 receptor,HRH2,Membrane receptor,Histamine H2 receptor antagonist
CINACALCET,[],Small molecule,parathyroid disease,Extracellular calcium-sensing receptor,CASR,Membrane receptor,Calcium sensing receptor positive allosteric modulator
CINACALCET HYDROCHLORIDE,"['Cinacalcet accordpharma' 'Cinacalcet mylan' 'Mimpara' 'Parareg'
 'Sensipar']",Small molecule,"Hypercalcemia, Parathyroid Gland Carcinoma, carcinoma, chronic kidney disease, hyperparathyroidism, secondary hyperparathyroidism",Extracellular calcium-sensing receptor,CASR,Membrane receptor,Calcium sensing receptor positive allosteric modulator
CINNARIZINE,['Marzine r.f.' 'Mylan travel sickness' 'Stugeron' 'Stugeron fte'],Small molecule,Vertigo,"Histamine H1 receptor, Voltage-gated L-type calcium channel","CACNA1C, CACNA1D, CACNA1F, CACNA1S, HRH1","Auxiliary transport protein, Ion channel, Membrane receptor","Histamine H1 receptor antagonist, Voltage-gated L-type calcium channel blocker"
CIPROFIBRATE,['Modalim'],Small molecule,cardiovascular disease,Peroxisome proliferator-activated receptor alpha,PPARA,Transcription factor,Peroxisome proliferator-activated receptor alpha agonist
CISAPRIDE,[],Small molecule,gastrointestinal disease,5-hydroxytryptamine receptor 4,HTR4,Membrane receptor,Serotonin 4 (5-HT4) receptor agonist
CITALOPRAM,[],Small molecule,"depressive disorder, major depressive disorder",Sodium-dependent serotonin transporter,SLC6A4,Transporter,Serotonin transporter inhibitor
CITALOPRAM HYDROBROMIDE,['Celexa' 'Cipramil' 'Citalopram hydrobromide' 'Paxoran'],Small molecule,major depressive disorder,Sodium-dependent serotonin transporter,SLC6A4,Transporter,Serotonin transporter inhibitor
CLASCOTERONE,['Breezula' 'Winlevi'],Small molecule,acne,Androgen receptor,AR,Transcription factor,Androgen Receptor antagonist
CLEBOPRIDE,['Clanzoflat'],Small molecule,gastrointestinal disease,"5-hydroxytryptamine receptor 4, D(2) dopamine receptor","DRD2, HTR4",Membrane receptor,"Dopamine D2 receptor antagonist, Serotonin 4 (5-HT4) receptor agonist"
CLEMASTINE,[],Small molecule,"Pruritus, allergic disease",Histamine H1 receptor,HRH1,Membrane receptor,Histamine H1 receptor antagonist
CLEMASTINE FUMARATE,"['Clemastine fumarate' 'Clemastine fumarate component of tavist-d'
 'Tavegil' 'Tavist' 'Tavist-1']",Small molecule,"allergic rhinitis, common cold, seasonal allergic rhinitis, urticaria",Histamine H1 receptor,HRH1,Membrane receptor,Histamine H1 receptor antagonist
CLENBUTEROL,['Spiropent' 'Spiropent mite'],Small molecule,Airway obstruction,Beta-2 adrenergic receptor,ADRB2,Membrane receptor,Beta-2 adrenergic receptor agonist
CLEVIDIPINE,['Cleviprex'],Small molecule,cardiovascular disease,Voltage-gated L-type calcium channel,"CACNA1C, CACNA1D, CACNA1F, CACNA1S","Auxiliary transport protein, Ion channel",Voltage-gated L-type calcium channel blocker
CLIDINIUM BROMIDE,['Clidinium bromide component of librax' 'Quarzan'],Small molecule,gastrointestinal disease,"Muscarinic acetylcholine receptor M1, Muscarinic acetylcholine receptor M3","CHRM1, CHRM3",Membrane receptor,"Muscarinic acetylcholine receptor M1 antagonist, Muscarinic acetylcholine receptor M3 antagonist"
CLOBAZAM,['Frisium' 'Onfi' 'Perizam' 'Sympazan' 'Tapclob' 'Urbanyl'],Small molecule,"Anxiety, Lennox-Gastaut syndrome, Seizure",GABA-A receptor; anion channel,"GABRA1, GABRA2, GABRA3, GABRA5, GABRG1, GABRG2, GABRG3",Ion channel,GABA-A receptor; anion channel positive allosteric modulator
CLOBETASOL PROPIONATE,"['Clarelux' 'Clobaderm' 'Clobetasol propionate'
 'Clobetasol propionate (emollient)' 'Clobex' 'Cormax' 'Dermovate'
 'Dermovate nn' 'Embeline' 'Embeline e' 'Etrivex' 'Impeklo' 'Impoyz'
 'Olux' 'Olux e' 'Temovate' 'Temovate e']",Small molecule,"psoriasis, psoriasis vulgaris, skin disease",Glucocorticoid receptor,NR3C1,Transcription factor,Glucocorticoid receptor agonist
CLOFARABINE,['Clolar' 'Evoltra' 'Ivozall'],Small molecule,"acute lymphoblastic leukemia, lymphoid leukemia, neoplasm","DNA polymerase (alpha/delta/epsilon), Ribonucleoside-diphosphate reductase RR1","POLA1, POLA2, POLD1, POLD2, POLD3, POLD4, POLE, POLE2, POLE3, PRIM1, PRIM2, RRM1","Enzyme, Unclassified protein","DNA polymerase (alpha/delta/epsilon) inhibitor, Ribonucleoside-diphosphate reductase RR1 inhibitor"
CLOFIBRATE,['Atromid' 'Atromid-s' 'Clofibrate'],Small molecule,cardiovascular disease,Peroxisome proliferator-activated receptor alpha,PPARA,Transcription factor,Peroxisome proliferator-activated receptor alpha agonist
CLOMIPHENE CITRATE,['Clomid' 'Clomiphene citrate' 'Clophene' 'Milophene' 'Serophene'],Small molecule,"hemorrhage, infertility, polycystic ovary syndrome",Estrogen receptor,ESR1,"Other cytosolic protein, Transcription factor, Unclassified protein",Estrogen receptor alpha modulator
CLOMIPRAMINE,[],Small molecule,depressive disorder,Sodium-dependent serotonin transporter,SLC6A4,Transporter,Serotonin transporter inhibitor
CLOMIPRAMINE HYDROCHLORIDE,"['Anafranil' 'Anafranil sr' 'Clomicalm' 'Clomipramine hydrochloride'
 'Tranquax']",Small molecule,obsessive-compulsive disorder,Sodium-dependent serotonin transporter,SLC6A4,Transporter,Serotonin transporter inhibitor
CLONAZEPAM,['Clonazepam' 'Klonopin' 'Klonopin rapidly disintegrating' 'Rivotril'],Small molecule,"Seizure, epilepsy, panic disorder",GABA-A receptor; anion channel,"GABRA1, GABRA2, GABRA3, GABRA5, GABRG1, GABRG2, GABRG3",Ion channel,GABA-A receptor; anion channel positive allosteric modulator
CLONIDINE,"['Catapres-tts-1' 'Catapres-tts-2' 'Catapres-tts-3' 'Clonidine'
 'Nexiclon xr']",Small molecule,"cancer, glaucoma, hypertension, migraine disorder, neuropathic pain",Adrenergic receptor alpha-2,"ADRA2A, ADRA2B, ADRA2C",Membrane receptor,Adrenergic receptor alpha-2 agonist
CLONIDINE HYDROCHLORIDE,"['Catapres' 'Catapres p.l.' 'Catapres tts 1' 'Catapres tts 2'
 'Catapres tts 3' 'Clonidine hydrochloride'
 'Clonidine hydrochloride component of clorpres'
 'Clonidine hydrochloride component of combipres' 'Dixarit' 'Duraclon'
 'Jenloga' 'Kapvay' 'Onyda xr']",Small molecule,"attention deficit hyperactivity disorder, hypertension",Adrenergic receptor alpha-2,"ADRA2A, ADRA2B, ADRA2C",Membrane receptor,Adrenergic receptor alpha-2 agonist
CLOPIDOGREL,[],Small molecule,"Recurrent thrombophlebitis, thrombotic disease",P2Y purinoceptor 12,P2RY12,Membrane receptor,Purinergic receptor P2Y12 antagonist
CLOPIDOGREL BISULFATE,"['Clopidogrel bgr (previously zylagren)' 'Clopidogrel bisulfate'
 'Clopidogrel bisulfate component of clopidogrel/acetylsalicyclic acid teva'
 'Clopidogrel bisulfate component of duocover'
 'Clopidogrel bisulfate component of duoplavin' 'Clopidogrel bms'
 'Clopidogrel ratiopharm' 'Clopidogrel teva (hydrogen sulphate)'
 'Clopidogrel zentiva (previously clopidogrel winthrop)' 'Iscover'
 'Plavix' 'Zyllt']",Small molecule,"acute coronary syndrome, intermediate coronary syndrome, ischemia, myocardial infarction, peripheral arterial disease, stroke",P2Y purinoceptor 12,P2RY12,Membrane receptor,Purinergic receptor P2Y12 antagonist
CLORAZEPATE DIPOTASSIUM,['Clorazepate dipotassium' 'Gen-xene' 'Tranxene' 'Tranxene sd'],Small molecule,"Seizure, anxiety disorder",GABA-A receptor; anion channel,"GABRA1, GABRA2, GABRA3, GABRA5, GABRG1, GABRG2, GABRG3",Ion channel,GABA-A receptor; anion channel positive allosteric modulator
CLOTHIAPINE,[],Small molecule,psychosis,"D(4) dopamine receptor, Serotonin 2 (5-HT2) receptor, Serotonin 3 (5-HT3) receptor","DRD4, HTR2A, HTR2B, HTR2C, HTR3A, HTR3B, HTR3C, HTR3D, HTR3E","Ion channel, Membrane receptor","Dopamine D4 receptor antagonist, Serotonin 2 (5-HT2) receptor antagonist, Serotonin 3 (5-HT3) receptor antagonist"
CLOTIAZEPAM,['Clozan' 'Rize'],Small molecule,Anxiety,GABA-A receptor; anion channel,"GABRA1, GABRA2, GABRA3, GABRA5, GABRG1, GABRG2, GABRG3",Ion channel,GABA-A receptor; anion channel positive allosteric modulator
CLOZAPINE,['Clozapine' 'Clozaril' 'Fazaclo' 'Fazaclo odt' 'Versacloz' 'Zaponex'],Small molecule,"psychosis, schizoaffective disorder, schizophrenia","5-hydroxytryptamine receptor 2A, D(2) dopamine receptor","DRD2, HTR2A",Membrane receptor,"Dopamine D2 receptor antagonist, Serotonin 2a (5-HT2a) receptor antagonist"
COAGULATION FACTOR IX HUMAN,"['Coagulation factor ix human component of balfaxar' 'Mononine' 'Nonafact'
 'Replenine']",Unknown,hemophilia B,Coagulation factor IX,F9,"Enzyme, Secreted protein",Coagulation factor IX exogenous protein
COAGULATION FACTOR IX RECOMBINANT HUMAN,['Benefix' 'Rixubis'],Protein,hemophilia B,Coagulation factor IX,F9,"Enzyme, Secreted protein",Coagulation factor IX exogenous protein
COAGULATION FACTOR X HUMAN,['Coagadex' 'Coagulation factor x human component of balfaxar'],Unknown,"factor X deficiency, hemorrhage",Coagulation factor X,F10,"Enzyme, Secreted protein",Coagulation factor X exogenous protein
COBICISTAT,"['Cobicistat component of evotaz' 'Cobicistat component of genvoya'
 'Cobicistat component of prezcobix' 'Cobicistat component of rezolsta'
 'Cobicistat component of stribild' 'Cobicistat component of symtuza'
 'Tybost']",Small molecule,"HIV infection, HIV-1 infection, infection",Cytochrome P450 3A,"CYP3A4, CYP3A43, CYP3A5, CYP3A7",Enzyme,Cytochrome P450 3A inhibitor
COBIMETINIB,[],Small molecule,neoplasm,"Dual specificity mitogen-activated protein kinase kinase 1, Dual specificity mitogen-activated protein kinase kinase 2","MAP2K1, MAP2K2",Enzyme,"Dual specificity mitogen-activated protein kinase kinase 1 inhibitor, Dual specificity mitogen-activated protein kinase kinase 2 inhibitor"
COBIMETINIB FUMARATE,['Cotellic'],Small molecule,"melanoma, metastatic melanoma","Dual specificity mitogen-activated protein kinase kinase 1, Dual specificity mitogen-activated protein kinase kinase 2","MAP2K1, MAP2K2",Enzyme,"Dual specificity mitogen-activated protein kinase kinase 1 inhibitor, Dual specificity mitogen-activated protein kinase kinase 2 inhibitor"
CODEINE,[],Small molecule,"Cough, Pain",Opioid receptors; mu/kappa/delta,"OPRD1, OPRK1, OPRM1",Membrane receptor,Opioid receptors; mu/kappa/delta agonist
CODEINE SULFATE,['Codeine sulfate'],Small molecule,"Pain, drug dependence",Opioid receptors; mu/kappa/delta,"OPRD1, OPRK1, OPRM1",Membrane receptor,Opioid receptors; mu/kappa/delta agonist
COLCHICINE,"['Colchicine component of col-probenecid'
 'Colchicine component of colbenemid' 'Colchicine component of mitigare'
 'Colchicine component of proben-c' 'Colcrys' 'Gloperba' 'Lodoco'
 'Mitigare']",Small molecule,"familial Mediterranean fever, gout",Tubulin,"TUBB, TUBB1, TUBB2A, TUBB2B, TUBB3, TUBB4A, TUBB4B, TUBB6, TUBB8","Structural protein, Unclassified protein",Tubulin inhibitor
COLLAGENASE CLOSTRIDIUM HISTOLYTICUM,['Qwo' 'Santyl' 'Xiaflex' 'Xiapex'],Enzyme,"Abnormality of connective tissue, Dupuytren Contracture, Palmar Fibromatosis, Penile Fibromatosis, Peyronie disease, Skin ulcer, ulcer disease",Collagen,"COL11A1, COL11A2, COL15A1, COL18A1, COL1A1, COL1A2, COL24A1, COL27A1, COL28A1, COL2A1, COL3A1, COL4A1, COL4A2, COL4A3, COL4A4, COL4A5, COL4A6, COL5A1, COL5A2, COL5A3, COL6A1, COL6A2, COL6A3, COL6A5, COL6A6",Structural protein,Collagen hydrolytic enzyme
CONESTAT ALFA,['Ruconest'],Protein,hereditary angioedema,Plasma protease C1 inhibitor,SERPING1,Unclassified protein,Plasma protease C1 inhibitor exogenous protein
